         685164 function calls (671689 primitive calls) in 0.511 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 __init__.py:1310(debug)
       19    0.000    0.000    0.000    0.000 __init__.py:1357(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:137(EventType)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.005    0.005 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1424(is_interactive)
        2    0.000    0.000    0.004    0.002 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        3    0.000    0.000    0.000    0.000 __init__.py:1554(getEffectiveLevel)
       39    0.000    0.000    0.001    0.000 __init__.py:1563(_add_data_doc)
       11    0.000    0.000    0.000    0.000 __init__.py:1568(isEnabledFor)
       39    0.000    0.000    0.000    0.000 __init__.py:1598(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1616(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1622(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1633(LoggerAdapter)
       39    0.001    0.000    0.004    0.000 __init__.py:1638(param)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1709(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1730(YView)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1751(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:1769(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(TimeoutError)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
       23    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:1876(_str_equal)
       22    0.000    0.000    0.000    0.000 __init__.py:1879(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        8    0.000    0.000    0.000    0.000 __init__.py:1896(_define_aliases)
       61    0.000    0.000    0.000    0.000 __init__.py:1916(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:1996(Tk)
        6    0.000    0.000    0.083    0.014 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:2008(NullHandler)
        1    0.000    0.000    0.014    0.014 __init__.py:201(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2020(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:204(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:2118(Pack)
       26    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2157(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2201(Grid)
       26    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2248(BaseWidget)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2310(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2317(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:232(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:2345(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2390(Canvas)
        2    0.000    0.000    0.004    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:250(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2631(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_parse_commandline)
        1    0.000    0.000    0.000    0.000 __init__.py:2660(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:2725(Frame)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:2743(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2765(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:2856(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:286(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:288(Variable)
